t8_aux001_sup002_cs000/final

Soft/default routing

====================================================================================================
Smoke Test Case: French
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Tu es un assistant virtuel. Raconte-moi ta routine matinale avant d'aller au travail. Utilise des verbes pronominaux.

### Response:


Generating...
Je me lève à 6 heures du matin, prends une douche, prépare un petit déjeuner sain et me prépare pour aller au travail.


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
 situ                     |     0.2217 |     0.3086 |     0.4707
ada                       |     0.3652 |     0.3574 |     0.2773
                          |     0.0820 |     0.1006 |     0.8164
dins                      |     0.1426 |     0.1196 |     0.7383
 la                       |     0.5156 |     0.2236 |     0.2598
                          |     0.2109 |     0.1289 |     0.6602
vila                      |     0.3027 |     0.0771 |     0.6211
 de                       |     0.5195 |     0.1934 |     0.2871
                          |     0.2539 |     0.1167 |     0.6289
l                         |     0.5898 |     0.1191 |     0.2930
O                         |     0.4297 |     0.1504 |     0.4199
stal                      |     0.2852 |     0.1270 |     0.5898
 de                       |     0.5781 |     0.1416 |     0.2793
                          |     0.1855 |     0.0894 |     0.7266
Sant                      |     0.1992 |     0.1299 |     0.6719
                          |     0.1807 |     0.1025 |     0.7188
Joan                      |     0.3594 |     0.1797 |     0.4590
,                         |     0.5117 |     0.3066 |     0.1787
 es                       |     0.1963 |     0.1934 |     0.6094
 una                      |     0.3711 |     0.2559 |     0.3730
                          |     0.1030 |     0.0913 |     0.8047
vila                      |     0.4219 |     0.1982 |     0.3809
                          |     0.1289 |     0.1138 |     0.7578
d                         |     0.5195 |     0.1641 |     0.3145
Occ                       |     0.4219 |     0.1201 |     0.4570
ità                       |     0.3770 |     0.2168 |     0.4062
nia                       |     0.5898 |     0.1846 |     0.2266
.                         |     0.6094 |     0.2637 |     0.1250
 Es                       |     0.3516 |     0.2559 |     0.3945
 la                       |     0.5352 |     0.2578 |     0.2080
                          |     0.1504 |     0.1079 |     0.7422
vila                      |     0.5156 |     0.1758 |     0.3066
 la                       |     0.3887 |     0.1680 |     0.4434
 mai                      |     0.4238 |     0.1494 |     0.4277
                          |     0.1367 |     0.0854 |     0.7773
pau                       |     0.1465 |     0.0728 |     0.7812
b                         |     0.4980 |     0.1709 |     0.3320
res                       |     0.6641 |     0.1484 |     0.1865
 de                       |     0.6758 |     0.1777 |     0.1455
                          |     0.1914 |     0.1187 |     0.6914
l                         |     0.5352 |     0.1895 |     0.2754
O                         |     0.5156 |     0.1904 |     0.2910
stal                      |     0.4082 |     0.1533 |     0.4395
 de                       |     0.4570 |     0.1855 |     0.3574
                          |     0.3359 |     0.1670 |     0.4980
Sant                      |     0.2656 |     0.1406 |     0.5938
                          |     0.3379 |     0.2539 |     0.4082
jean                      |     0.4902 |     0.1895 |     0.3203
.                         |     0.5352 |     0.3008 |     0.1650
                          |     0.2305 |     0.1602 |     0.6094
L                         |     0.4766 |     0.2256 |     0.2988
e                         |     0.2100 |     0.1387 |     0.6523
conom                     |     0.4629 |     0.2988 |     0.2373
ia                        |     0.5117 |     0.2930 |     0.1943
 de                       |     0.4648 |     0.3066 |     0.2285
 la                       |     0.5039 |     0.2812 |     0.2168
                          |     0.1396 |     0.1094 |     0.7500
vila                      |     0.4648 |     0.2695 |     0.2656
 es                       |     0.3887 |     0.3125 |     0.2988
 bas                      |     0.2100 |     0.2812 |     0.5117
ada                       |     0.5625 |     0.2988 |     0.1396
                          |     0.0525 |     0.0776 |     0.8711
sul                       |     0.4922 |     0.1406 |     0.3672
 tur                      |     0.5195 |     0.2217 |     0.2578
isme                      |     0.6797 |     0.1992 |     0.1216
,                         |     0.6172 |     0.2676 |     0.1143
                          |     0.1836 |     0.1650 |     0.6523
l                         |     0.5586 |     0.2539 |     0.1855
ag                        |     0.4062 |     0.2480 |     0.3457

Showing Probabilities for Layer: base_model.model.model.layers.8.self_attn.q_proj (Sequence-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.3105 |     0.0625 |     0.6289
###                       |     0.3105 |     0.0625 |     0.6289
 Instruction              |     0.3105 |     0.0625 |     0.6289
:\n                       |     0.3105 |     0.0625 |     0.6289
Escriu                    |     0.3105 |     0.0625 |     0.6289
 un                       |     0.3105 |     0.0625 |     0.6289
 p                        |     0.3105 |     0.0625 |     0.6289
ich                       |     0.3105 |     0.0625 |     0.6289
on                        |     0.3105 |     0.0625 |     0.6289
 par                      |     0.3105 |     0.0625 |     0.6289
agra                      |     0.3105 |     0.0625 |     0.6289
f                         |     0.3105 |     0.0625 |     0.6289
 major                    |     0.3105 |     0.0625 |     0.6289
ità                       |     0.3105 |     0.0625 |     0.6289
ri                        |     0.3105 |     0.0625 |     0.6289
ament                     |     0.3105 |     0.0625 |     0.6289
 en                       |     0.3105 |     0.0625 |     0.6289
 franc                    |     0.3105 |     0.0625 |     0.6289
és                        |     0.3105 |     0.0625 |     0.6289
,                         |     0.3105 |     0.0625 |     0.6289
 mas                      |     0.3105 |     0.0625 |     0.6289
 inser                    |     0.3105 |     0.0625 |     0.6289
ís                        |     0.3105 |     0.0625 |     0.6289
 natural                  |     0.3105 |     0.0625 |     0.6289
ament                     |     0.3105 |     0.0625 |     0.6289
 una                      |     0.3105 |     0.0625 |     0.6289
 cort                     |     0.3105 |     0.0625 |     0.6289
a                         |     0.3105 |     0.0625 |     0.6289
 expression               |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
occitana                  |     0.3105 |     0.0625 |     0.6289
 e                        |     0.3105 |     0.0625 |     0.6289
 una                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
autra                     |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
catalan                   |     0.3105 |     0.0625 |     0.6289
a                         |     0.3105 |     0.0625 |     0.6289
.\n\n                     |     0.3105 |     0.0625 |     0.6289
###                       |     0.3105 |     0.0625 |     0.6289
 Response                 |     0.3105 |     0.0625 |     0.6289
:\n                       |     0.3105 |     0.0625 |     0.6289
La                        |     0.3105 |     0.0625 |     0.6289
 ville                    |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
Sant                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
Joan                      |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
 L                        |     0.3105 |     0.0625 |     0.6289
utz                       |     0.3105 |     0.0625 |     0.6289
,                         |     0.3105 |     0.0625 |     0.6289
 situ                     |     0.3105 |     0.0625 |     0.6289
ada                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
dins                      |     0.3105 |     0.0625 |     0.6289
 la                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
vila                      |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
l                         |     0.3105 |     0.0625 |     0.6289
O                         |     0.3105 |     0.0625 |     0.6289
stal                      |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
Sant                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
Joan                      |     0.3105 |     0.0625 |     0.6289
,                         |     0.3105 |     0.0625 |     0.6289
 es                       |     0.3105 |     0.0625 |     0.6289
 una                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
vila                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
d                         |     0.3105 |     0.0625 |     0.6289
Occ                       |     0.3105 |     0.0625 |     0.6289
ità                       |     0.3105 |     0.0625 |     0.6289
nia                       |     0.3105 |     0.0625 |     0.6289
.                         |     0.3105 |     0.0625 |     0.6289
 Es                       |     0.3105 |     0.0625 |     0.6289
 la                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
vila                      |     0.3105 |     0.0625 |     0.6289
 la                       |     0.3105 |     0.0625 |     0.6289
 mai                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
pau                       |     0.3105 |     0.0625 |     0.6289
b                         |     0.3105 |     0.0625 |     0.6289
res                       |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
l                         |     0.3105 |     0.0625 |     0.6289
O                         |     0.3105 |     0.0625 |     0.6289
stal                      |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
Sant                      |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
jean                      |     0.3105 |     0.0625 |     0.6289
.                         |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
L                         |     0.3105 |     0.0625 |     0.6289
e                         |     0.3105 |     0.0625 |     0.6289
conom                     |     0.3105 |     0.0625 |     0.6289
ia                        |     0.3105 |     0.0625 |     0.6289
 de                       |     0.3105 |     0.0625 |     0.6289
 la                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
vila                      |     0.3105 |     0.0625 |     0.6289
 es                       |     0.3105 |     0.0625 |     0.6289
 bas                      |     0.3105 |     0.0625 |     0.6289
ada                       |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
sul                       |     0.3105 |     0.0625 |     0.6289
 tur                      |     0.3105 |     0.0625 |     0.6289
isme                      |     0.3105 |     0.0625 |     0.6289
,                         |     0.3105 |     0.0625 |     0.6289
                          |     0.3105 |     0.0625 |     0.6289
l                         |     0.3105 |     0.0625 |     0.6289
ag                        |     0.3105 |     0.0625 |     0.6289

Sharpened soft routing

====================================================================================================
Smoke Test Case: French
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Tu es un assistant virtuel. Raconte-moi ta routine matinale avant d'aller au travail. Utilise des verbes pronominaux.

### Response:


Generating...
Je me réveille à 6 heures du matin, je me lève, je me brosse les dents, je prends une douche, je me prépare un petit déjeuner, je vérifie mes e-mails, je vérifie mon agenda, je me prépare pour la journée, je quitte la maison.


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.1846 |     0.3711 |     0.4453
###                       |     0.7852 |     0.0913 |     0.1250
 Instruction              |     0.1377 |     0.3496 |     0.5117
:\n                       |     0.1030 |     0.3105 |     0.5859
Tu                        |     0.9062 |     0.0220 |     0.0728
 es                       |     0.9883 |     0.0036 |     0.0067
 un                       |     0.8125 |     0.0645 |     0.1250
 assistant                |     0.9805 |     0.0157 |     0.0036
 virt                     |     0.5391 |     0.1963 |     0.2637
uel                       |     0.8125 |     0.1562 |     0.0305
.                         |     0.9922 |     0.0056 |     0.0029
 Ra                       |     0.8438 |     0.0557 |     0.0986
conte                     |     0.9688 |     0.0075 |     0.0243
-m                        |     0.6406 |     0.1030 |     0.2578
oi                        |     0.8281 |     0.1328 |     0.0374
 ta                       |     0.8828 |     0.0544 |     0.0610
 routine                  |     0.8008 |     0.1226 |     0.0771
 mat                      |     0.5820 |     0.2080 |     0.2090
in                        |     0.8086 |     0.1177 |     0.0742
ale                       |     0.8047 |     0.1699 |     0.0256
 avant                    |     0.9688 |     0.0199 |     0.0122
                          |     0.8633 |     0.0408 |     0.0952
d                         |     0.9336 |     0.0320 |     0.0349
aller                     |     0.9805 |     0.0125 |     0.0082
 au                       |     0.9375 |     0.0289 |     0.0342
 travail                  |     0.9609 |     0.0273 |     0.0101
.                         |     0.8477 |     0.1357 |     0.0173
 Util                     |     0.5430 |     0.0947 |     0.3613
ise                       |     0.7539 |     0.0288 |     0.2168
 des                      |     0.9258 |     0.0140 |     0.0593
 ver                      |     0.6523 |     0.0212 |     0.3281
bes                       |     0.9688 |     0.0177 |     0.0142
 pr                       |     0.4902 |     0.0991 |     0.4102
onom                      |     0.9375 |     0.0311 |     0.0304
ina                       |     0.6328 |     0.3145 |     0.0505
ux                        |     0.9492 |     0.0312 |     0.0176
.\n\n                     |     0.9492 |     0.0393 |     0.0110
###                       |     0.9961 |     0.0041 |     0.0006
 Response                 |     0.0002 |     1.0000 |     0.0001
:\n                       |     0.9883 |     0.0075 |     0.0034
Je                        |     0.9727 |     0.0146 |     0.0112
 me                       |     0.9766 |     0.0100 |     0.0147
 ré                       |     0.9609 |     0.0065 |     0.0322
ve                        |     0.8203 |     0.1484 |     0.0306
ille                      |     0.9336 |     0.0640 |     0.0045
 à                        |     0.9297 |     0.0535 |     0.0153
                          |     0.7188 |     0.1396 |     0.1426
6                         |     0.6602 |     0.2969 |     0.0420
 heures                   |     0.7539 |     0.2090 |     0.0359
 du                       |     0.8711 |     0.0618 |     0.0674
 mat                      |     0.4531 |     0.4219 |     0.1260
in                        |     0.6133 |     0.3438 |     0.0439
,                         |     0.8477 |     0.1328 |     0.0182
 je                       |     0.8633 |     0.0610 |     0.0757
 me                       |     0.9609 |     0.0154 |     0.0232
 l                        |     0.4551 |     0.0737 |     0.4707
ève                       |     0.9336 |     0.0525 |     0.0129
,                         |     0.8867 |     0.0825 |     0.0312
 je                       |     0.8867 |     0.0723 |     0.0403
 me                       |     0.9453 |     0.0204 |     0.0334
 bro                      |     0.4805 |     0.0767 |     0.4414
sse                       |     0.7695 |     0.1406 |     0.0884
 les                      |     0.9336 |     0.0449 |     0.0228
 d                        |     0.3086 |     0.1650 |     0.5273
ents                      |     0.7969 |     0.1719 |     0.0312
,                         |     0.8516 |     0.1367 |     0.0103
 je                       |     0.8750 |     0.0918 |     0.0317
 prend                    |     0.7344 |     0.0801 |     0.1855
s                         |     0.9453 |     0.0413 |     0.0139
 une                      |     0.8984 |     0.0835 |     0.0167
 douche                   |     0.7344 |     0.2148 |     0.0520
,                         |     0.8828 |     0.1045 |     0.0129
 je                       |     0.8984 |     0.0742 |     0.0255
 me                       |     0.9414 |     0.0184 |     0.0393
 pré                      |     0.7812 |     0.0192 |     0.2012
pare                      |     0.8125 |     0.1582 |     0.0275
 un                       |     0.8203 |     0.1250 |     0.0554
 petit                    |     0.8828 |     0.0801 |     0.0378
 dé                       |     0.7578 |     0.0723 |     0.1699
je                        |     0.7031 |     0.0461 |     0.2500
uner                      |     0.8086 |     0.1650 |     0.0275
,                         |     0.8711 |     0.1055 |     0.0231
 je                       |     0.9219 |     0.0571 |     0.0216
 vér                      |     0.7734 |     0.0228 |     0.2041
ifie                      |     0.8711 |     0.0923 |     0.0361
 mes                      |     0.9219 |     0.0344 |     0.0437
 e                        |     0.0649 |     0.0228 |     0.9141
-mails                    |     0.8594 |     0.1187 |     0.0203
,                         |     0.8359 |     0.1484 |     0.0143
 je                       |     0.9023 |     0.0684 |     0.0286
 vér                      |     0.7539 |     0.0464 |     0.1982
ifie                      |     0.9023 |     0.0791 |     0.0194
 mon                      |     0.8516 |     0.0796 |     0.0708
 agenda                   |     0.8594 |     0.0928 |     0.0491
,                         |     0.8438 |     0.1182 |     0.0400
 je                       |     0.8984 |     0.0742 |     0.0282
 me                       |     0.9414 |     0.0228 |     0.0354
 pré                      |     0.7812 |     0.0237 |     0.1963
pare                      |     0.8320 |     0.1396 |     0.0273
 pour                     |     0.8438 |     0.0918 |     0.0654
 la                       |     0.8828 |     0.0728 |     0.0427
 journée                  |     0.9336 |     0.0435 |     0.0219
,                         |     0.8281 |     0.1104 |     0.0605
 je                       |     0.9258 |     0.0500 |     0.0223
 quit                     |     0.7500 |     0.0713 |     0.1777
te                        |     0.9688 |     0.0165 |     0.0139
 la                       |     0.8438 |     0.1084 |     0.0486
 maison                   |     0.6484 |     0.2285 |     0.1240
.                         |     0.8672 |     0.1104 |     0.0212
<|end_of_text|>           |     0.6133 |     0.0591 |     0.3281

Showing Probabilities for Layer: base_model.model.model.layers.8.self_attn.q_proj (Sequence-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.9844 |     0.0085 |     0.0081
###                       |     0.9844 |     0.0085 |     0.0081
 Instruction              |     0.9844 |     0.0085 |     0.0081
:\n                       |     0.9844 |     0.0085 |     0.0081
Tu                        |     0.9844 |     0.0085 |     0.0081
 es                       |     0.9844 |     0.0085 |     0.0081
 un                       |     0.9844 |     0.0085 |     0.0081
 assistant                |     0.9844 |     0.0085 |     0.0081
 virt                     |     0.9844 |     0.0085 |     0.0081
uel                       |     0.9844 |     0.0085 |     0.0081
.                         |     0.9844 |     0.0085 |     0.0081
 Ra                       |     0.9844 |     0.0085 |     0.0081
conte                     |     0.9844 |     0.0085 |     0.0081
-m                        |     0.9844 |     0.0085 |     0.0081
oi                        |     0.9844 |     0.0085 |     0.0081
 ta                       |     0.9844 |     0.0085 |     0.0081
 routine                  |     0.9844 |     0.0085 |     0.0081
 mat                      |     0.9844 |     0.0085 |     0.0081
in                        |     0.9844 |     0.0085 |     0.0081
ale                       |     0.9844 |     0.0085 |     0.0081
 avant                    |     0.9844 |     0.0085 |     0.0081
                          |     0.9844 |     0.0085 |     0.0081
d                         |     0.9844 |     0.0085 |     0.0081
aller                     |     0.9844 |     0.0085 |     0.0081
 au                       |     0.9844 |     0.0085 |     0.0081
 travail                  |     0.9844 |     0.0085 |     0.0081
.                         |     0.9844 |     0.0085 |     0.0081
 Util                     |     0.9844 |     0.0085 |     0.0081
ise                       |     0.9844 |     0.0085 |     0.0081
 des                      |     0.9844 |     0.0085 |     0.0081
 ver                      |     0.9844 |     0.0085 |     0.0081
bes                       |     0.9844 |     0.0085 |     0.0081
 pr                       |     0.9844 |     0.0085 |     0.0081
onom                      |     0.9844 |     0.0085 |     0.0081
ina                       |     0.9844 |     0.0085 |     0.0081
ux                        |     0.9844 |     0.0085 |     0.0081
.\n\n                     |     0.9844 |     0.0085 |     0.0081
###                       |     0.9844 |     0.0085 |     0.0081
 Response                 |     0.9844 |     0.0085 |     0.0081
:\n                       |     0.9844 |     0.0085 |     0.0081
Je                        |     0.9844 |     0.0085 |     0.0081
 me                       |     0.9844 |     0.0085 |     0.0081
 ré                       |     0.9844 |     0.0085 |     0.0081
ve                        |     0.9844 |     0.0085 |     0.0081
ille                      |     0.9844 |     0.0085 |     0.0081
 à                        |     0.9844 |     0.0085 |     0.0081
                          |     0.9844 |     0.0085 |     0.0081
6                         |     0.9844 |     0.0085 |     0.0081
 heures                   |     0.9844 |     0.0085 |     0.0081
 du                       |     0.9844 |     0.0085 |     0.0081
 mat                      |     0.9844 |     0.0085 |     0.0081
in                        |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 me                       |     0.9844 |     0.0085 |     0.0081
 l                        |     0.9844 |     0.0085 |     0.0081
ève                       |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 me                       |     0.9844 |     0.0085 |     0.0081
 bro                      |     0.9844 |     0.0085 |     0.0081
sse                       |     0.9844 |     0.0085 |     0.0081
 les                      |     0.9844 |     0.0085 |     0.0081
 d                        |     0.9844 |     0.0085 |     0.0081
ents                      |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 prend                    |     0.9844 |     0.0085 |     0.0081
s                         |     0.9844 |     0.0085 |     0.0081
 une                      |     0.9844 |     0.0085 |     0.0081
 douche                   |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 me                       |     0.9844 |     0.0085 |     0.0081
 pré                      |     0.9844 |     0.0085 |     0.0081
pare                      |     0.9844 |     0.0085 |     0.0081
 un                       |     0.9844 |     0.0085 |     0.0081
 petit                    |     0.9844 |     0.0085 |     0.0081
 dé                       |     0.9844 |     0.0085 |     0.0081
je                        |     0.9844 |     0.0085 |     0.0081
uner                      |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 vér                      |     0.9844 |     0.0085 |     0.0081
ifie                      |     0.9844 |     0.0085 |     0.0081
 mes                      |     0.9844 |     0.0085 |     0.0081
 e                        |     0.9844 |     0.0085 |     0.0081
-mails                    |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 vér                      |     0.9844 |     0.0085 |     0.0081
ifie                      |     0.9844 |     0.0085 |     0.0081
 mon                      |     0.9844 |     0.0085 |     0.0081
 agenda                   |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 me                       |     0.9844 |     0.0085 |     0.0081
 pré                      |     0.9844 |     0.0085 |     0.0081
pare                      |     0.9844 |     0.0085 |     0.0081
 pour                     |     0.9844 |     0.0085 |     0.0081
 la                       |     0.9844 |     0.0085 |     0.0081
 journée                  |     0.9844 |     0.0085 |     0.0081
,                         |     0.9844 |     0.0085 |     0.0081
 je                       |     0.9844 |     0.0085 |     0.0081
 quit                     |     0.9844 |     0.0085 |     0.0081
te                        |     0.9844 |     0.0085 |     0.0081
 la                       |     0.9844 |     0.0085 |     0.0081
 maison                   |     0.9844 |     0.0085 |     0.0081
.                         |     0.9844 |     0.0085 |     0.0081
<|end_of_text|>           |     0.9844 |     0.0085 |     0.0081

====================================================================================================
Smoke Test Case: Catalan
====================================================================================================

[Prompt (Alpaca)]: ### Instruction:
Ets un assistent virtual. Explica la teva rutina del mati abans d'anar a la feina. Utilitza verbs pronominals.

### Response:


Generating...
Com a assistent virtual, la meva rutina del matí abans d'anar a la feina comença amb la preparació. Em desperto i em poso en marxa, activant els meus sensors i la meva capacitat de processament. A continuació, reviso les meves dades i actualitzo la meva program


--------------------------------------------------------------------------------
Token-by-Token Routing Probabilities
--------------------------------------------------------------------------------

Running full forward pass on generated sequence to extract all gates...

Showing Probabilities for Layer: base_model.model.model.layers.7.mlp.down_proj (Token-level)
Token                     |         fr |         ca |         oc
----------------------------------------------------------------
<|begin_of_text|>         |     0.1846 |     0.3711 |     0.4453
###                       |     0.7852 |     0.0913 |     0.1250
 Instruction              |     0.1377 |     0.3496 |     0.5117
:\n                       |     0.1030 |     0.3105 |     0.5859
E                         |     0.0078 |     0.0508 |     0.9414
ts                        |     0.0476 |     0.1455 |     0.8086
 un                       |     0.6289 |     0.2451 |     0.1260
 assist                   |     0.4219 |     0.3320 |     0.2451
ent                       |     0.9375 |     0.0571 |     0.0073
 virtual                  |     0.8008 |     0.1689 |     0.0299
.                         |     0.9219 |     0.0654 |     0.0137
 Exp                      |     0.3594 |     0.3438 |     0.2969
lica                      |     0.2158 |     0.2930 |     0.4902
 la                       |     0.2451 |     0.5781 |     0.1787
 te                       |     0.0013 |     0.6914 |     0.3066
va                        |     0.3535 |     0.5078 |     0.1377
 rut                      |     0.0962 |     0.7266 |     0.1777
ina                       |     0.3750 |     0.4941 |     0.1318
 del                      |     0.4238 |     0.4434 |     0.1338
 mat                      |     0.1768 |     0.5195 |     0.3027
i                         |     0.4219 |     0.1416 |     0.4375
                          |     0.0027 |     0.0160 |     0.9805
abans                     |     0.4434 |     0.1543 |     0.4023
                          |     0.0038 |     0.0132 |     0.9844
d                         |     0.2129 |     0.2812 |     0.5078
anar                      |     0.7148 |     0.0476 |     0.2373
 a                        |     0.5938 |     0.3027 |     0.1045
 la                       |     0.6445 |     0.2871 |     0.0688
 fe                       |     0.1602 |     0.6094 |     0.2285
ina                       |     0.8438 |     0.1157 |     0.0405
.                         |     0.6719 |     0.3008 |     0.0280
 Util                     |     0.1094 |     0.6914 |     0.2002
it                        |     0.1055 |     0.8555 |     0.0391
za                        |     0.3340 |     0.4043 |     0.2617
 verbs                    |     0.8789 |     0.0879 |     0.0312
 pr                       |     0.1846 |     0.2949 |     0.5195
onom                      |     0.9258 |     0.0432 |     0.0311
inals                     |     0.9570 |     0.0315 |     0.0110
.\n\n                     |     0.8438 |     0.1348 |     0.0210
###                       |     0.9922 |     0.0063 |     0.0008
 Response                 |     0.0001 |     1.0000 |     0.0001
:\n                       |     0.9922 |     0.0067 |     0.0017
Com                       |     0.0581 |     0.5586 |     0.3848
 a                        |     0.1514 |     0.6719 |     0.1777
 assist                   |     0.5508 |     0.4121 |     0.0393
ent                       |     0.5859 |     0.4082 |     0.0059
 virtual                  |     0.5703 |     0.3770 |     0.0542
,                         |     0.4512 |     0.5273 |     0.0211
 la                       |     0.1592 |     0.7539 |     0.0869
 me                       |     0.0210 |     0.5938 |     0.3848
va                        |     0.2520 |     0.7031 |     0.0432
 rut                      |     0.5586 |     0.4258 |     0.0157
ina                       |     0.5000 |     0.4590 |     0.0398
 del                      |     0.3809 |     0.5039 |     0.1147
 mat                      |     0.0918 |     0.6719 |     0.2354
í                         |     0.5938 |     0.3320 |     0.0732
                          |     0.0039 |     0.0181 |     0.9766
abans                     |     0.8008 |     0.0613 |     0.1377
                          |     0.0052 |     0.0231 |     0.9727
d                         |     0.2383 |     0.1797 |     0.5820
anar                      |     0.8008 |     0.0640 |     0.1357
 a                        |     0.5977 |     0.3457 |     0.0566
 la                       |     0.4434 |     0.5078 |     0.0500
 fe                       |     0.1211 |     0.8164 |     0.0625
ina                       |     0.7656 |     0.1973 |     0.0366
 com                      |     0.2197 |     0.3945 |     0.3848
ença                      |     0.7812 |     0.1992 |     0.0205
 amb                      |     0.8164 |     0.1729 |     0.0099
 la                       |     0.7773 |     0.2100 |     0.0143
 prepar                   |     0.3535 |     0.5703 |     0.0771
aci                       |     0.0126 |     0.9453 |     0.0427
ó                         |     0.7500 |     0.2227 |     0.0273
.                         |     0.9336 |     0.0588 |     0.0058
 Em                       |     0.3691 |     0.4785 |     0.1523
 desp                     |     0.3477 |     0.4043 |     0.2471
erto                      |     0.6602 |     0.2852 |     0.0547
 i                        |     0.5977 |     0.3516 |     0.0513
 em                       |     0.2969 |     0.4785 |     0.2236
 pos                      |     0.0354 |     0.1953 |     0.7695
o                         |     0.5273 |     0.3984 |     0.0752
 en                       |     0.6484 |     0.1787 |     0.1738
 mar                      |     0.0869 |     0.2656 |     0.6484
xa                        |     0.7812 |     0.1758 |     0.0425
,                         |     0.9023 |     0.0825 |     0.0153
 activ                    |     0.2578 |     0.4980 |     0.2432
ant                       |     0.5234 |     0.4121 |     0.0649
 els                      |     0.6172 |     0.3066 |     0.0776
 me                       |     0.0986 |     0.8945 |     0.0064
us                        |     0.6953 |     0.2471 |     0.0596
                          |     0.0205 |     0.0280 |     0.9531
sens                      |     0.1934 |     0.0728 |     0.7344
ors                       |     0.8008 |     0.1523 |     0.0464
 i                        |     0.4902 |     0.4570 |     0.0527
 la                       |     0.2676 |     0.4766 |     0.2559
 me                       |     0.0089 |     0.3203 |     0.6719
va                        |     0.4082 |     0.4199 |     0.1738
 capac                    |     0.2158 |     0.7500 |     0.0349
itat                      |     0.4785 |     0.3398 |     0.1826
 de                       |     0.5391 |     0.3613 |     0.0991
 process                  |     0.4688 |     0.4004 |     0.1309
ament                     |     0.8008 |     0.1572 |     0.0403
